Module_Title,Module_Department,Module_Cluster,Aim,Icon,Color
Communications Skills,Computing and Mathematics,Computing and Mathematics,"The goal of this module is to enable students to develop key communication skills that are essential to the work-place environment as well as the student?s academic career. Such skills include interpersonal skills, oral presentation skills, ability to participate in meetings, and ability to participate effectively in groups, along with writing skills for work-related documents.",ph:star-bold,E65100
Computer Systems 1,Computing and Mathematics,Computing and Mathematics,"This module will provide the student with an introduction to Computer Science and Systems concepts and assumes no prior knowledge of the topic. The student is introduced to fundamental computing concepts, terminology, architecture and organisation. The theory is largely taught through a series of practical, lab-based exercises exploring computer hardware and software, operating systems installation and configuration and applications management.",mdi:desktop-tower-monitor,BA68C8
Mathematics Fundamentals,Computing and Mathematics,Computing and Mathematics,"This module introduces students to the basic concepts in matrices, linear and non linear functions, sequences and series and logic. Practical labs will act as a support as students will perform relevant calculations and construct relevant graphs.",mdi:chart-box,4DD0E1
Programming Concepts,Computing and Mathematics,Computing and Mathematics,This module will provide the student with an introduction to programming concepts. The student is introduced to fundamental programming techniques and should gain confidence in producing simple logical structures.,ri:robot-2-fill,7986CB
"Systems Analysis, Design and Testing",Computing and Mathematics,Computing and Mathematics,"This module introduces students to the main topics of Systems Analysis, Design and Testing. Systems must be planned in order that all interested parties can review and understand the necessary system objectives. This module will introduce the student to the problems associated with the development of software systems; they should appreciate the problems associated with developing software systems, and techniques that can overcome some of these problems. During this module the student will be exposed to various lifecycles. Appropriate CASE tools will be applied throughout the module.",mdi:test-tube,66BB6A
Website Development 1,Computing and Mathematics,Computing and Mathematics,"This module introduces the student to the creation and development of web based applications. The student will become skilled in HyperText Markup Language(HTML) and Cascading Style Sheets(CSS), to enable the creation of a well structured aesthetically pleasing static website, while meeting accessibility compliance standards. The student will be able to enhance the layout of websites, using a CSS Framework.",mdi:web,42A5F5
Business Information Systems and Processes,Computing and Mathematics,Computing and Mathematics,This module explores organisational structures and the generic business functions within those structures; globalisation and its impact on organisational structures is also key theme. Major generic business processes and how they are mapped will be addressed. Organisational information management and the information systems that support business processes will also be explored.,ph:kanban-bold,FFA726
Computer Systems 2,Computing and Mathematics,Computing and Mathematics,"This module follows on from Computer Systems 1 and focuses mostly on operating systems. Topics covered include core operating system functions such as process, memory and file management as well as an introduction to distributed systems and virtualisation. As with Computer Systems 1, there is an emphasis on practical, lab-based exercises with command line tools and some scripting.",mdi:virtual-machine,03A9F4
Introduction to Cloud Computing,Computing and Mathematics,Computing and Mathematics,This module introduces students to the capabilities of cloud computing. Basic concepts of cloud computing are covered and students carry out a series of practical exercises with cloud computing technologies and services.,ph:cloud-bold,29B6F6
Programming Fundamentals 1,Computing and Mathematics,Computing and Mathematics,"This module will introduce the student to fundamental programming techniques. The student will learn how to design algorithms using pseudocode, write small applications based on their designs and test their written applications. It assumes no prior knowledge of technology, programming languages or programming environments. Using basic techniques, the student should gain confidence in producing small applications.",ph:code-bold,9575CD
Statistical Analysis,Computing and Mathematics,Computing and Mathematics,"This module introduces students to data analysis techniques in statistics, regression and financial maths. The module will focus on the application of data analysis techniques along with interpretation of data analysis results. Practical labs will be included to introduce more advanced statistical features.",mdi:chart-scatter-plot,B2EBF2
Web Design and Development,Computing and Mathematics,Computing and Mathematics,"This module focuses on the Web Design and Development Process, from User Experience (UX), Planning, Responsive Design, to Development and Maintenance. The module will use industry standard website planning, design and web authoring tools. It will include web publishing and cross platform application development.",mdi:factory,EF6C00
Computer Networks,Computing and Mathematics,Computing and Mathematics,"This module introduces Computer Networking terminology, network protocols and models. Students will use simulation and protocol analysis software to configure network devices and explore various network protocol operations. A detailed examination of TCP/IP, IP addressing and Ethernet is presented. A brief introduction to Routing, Network management and Wireless LANs is also provided. Practical skills are an essential part of this module.",mdi:network,FF7043
Creative Problem Solving,Computing and Mathematics,Computing and Mathematics,"This module aims to help the learner understand the role of creativity, innovation, and problem solving in high technology industries. It will encourage the student to recognise the importance of diverse ideas, and to convey that recognition to others. It will cover methods for generating new ideas and ways to increase creative and problem solving abilities through independent research, assessment and discussion.",ph:magnifying-glass-bold,00ACC1
Database Fundamentals,Computing and Mathematics,Computing and Mathematics,This module will introduce the student to the concepts and practice of relational database modelling. The student will gain competence in Conceptual Data Modelling and Logical Data Modelling. The student will also examine the redundancy that can arise in poorly modelled systems and apply Normalisation to eliminate the redundancy. They will gain experience in the design and implementation of a practical database system.,ph:database-bold,26A69A
Enterprise Applications,Computing and Mathematics,Computing and Mathematics,This module will address Enterprise Applications that a business would use for interacting with multiple parts of an enterprise. Students will learn about different types of Enterprise Application systems and how they are designed to solve the problems encountered by different size enterprises. Emphasis is placed on how these applications provide productivity and efficiency to an enterprise's internal and supply chain processes.,mdi:office-building,F57C00
